"level" "taxa" "taxashort" "hex" "R" "G" "B"
2 "Unassigned;Other" "Unassigned;Other" "#000000" 0 0 0
2 "k__Archaea;p__Crenarchaeota" "Crenarchaeota" "#FF0000" 1 0 0
2 "k__Archaea;p__Euryarchaeota" "Euryarchaeota" "#2B2B2B" 0.1667 0.1667 0.1667
2 "k__Bacteria;p__Acidobacteria" "Acidobacteria" "#555555" 0.3333 0.3333 0.3333
2 "k__Bacteria;p__Actinobacteria" "Actinobacteria" "#808080" 0.5 0.5 0.5
2 "k__Bacteria;p__Armatimonadetes" "Armatimonadetes" "#FFD300" 1 0.827586206896552 0
2 "k__Bacteria;p__BRC1" "BRC1" "#005800" 0 0.344827586206897 0
2 "k__Bacteria;p__Bacteroidetes" "Bacteroidetes" "#FFA849" 1 0.658823529411765 0.286274509803922
2 "k__Bacteria;p__Chlamydiae" "Chlamydiae" "#9E4F46" 0.620689655172414 0.310344827586207 0.275862068965517
2 "k__Bacteria;p__Chloroflexi" "Chloroflexi" "#00FFC1" 0 1 0.758620689655172
2 "k__Bacteria;p__Cyanobacteria" "Cyanobacteria" "#28CCF1" 0.156862745098039 0.8 0.945098039215686
2 "k__Bacteria;p__Deferribacteres" "Deferribacteres" "#00007B" 0 0 0.482758620689655
2 "k__Bacteria;p__Firmicutes" "Firmicutes" "#AE4DA8" 0.682352941176471 0.301960784313725 0.658823529411765
2 "k__Bacteria;p__Fusobacteria" "Fusobacteria" "#AAAAAA" 0.6667 0.6667 0.6667
2 "k__Bacteria;p__Gemmatimonadetes" "Gemmatimonadetes" "#D312FF" 0.827586206896552 0.0689655172413793 1
2 "k__Bacteria;p__Lentisphaerae" "Lentisphaerae" "#D4D4D4" 0.8333 0.8333 0.8333
2 "k__Bacteria;p__Nitrospirae" "Nitrospirae" "#F61261" 0.96551724137931 0.0689655172413793 0.379310344827586
2 "k__Bacteria;p__Planctomycetes" "Planctomycetes" "#FFFFFF" 1 1 1
2 "k__Bacteria;p__Proteobacteria" "Proteobacteria" "#D95F02" 0.850980392156863 0.372549019607843 0.00784313725490196
2 "k__Bacteria;p__Spirochaetes" "Spirochaetes" "#8DA77B" 0.551724137931034 0.655172413793103 0.482758620689655
2 "k__Bacteria;p__TM6" "TM6" "#F68409" 0.96551724137931 0.517241379310345 0.0344827586206897
2 "k__Bacteria;p__Tenericutes" "Tenericutes" "#847200" 0.517241379310345 0.448275862068966 0
2 "k__Bacteria;p__Verrucomicrobia" "Verrucomicrobia" "#1B9E77" 0.105882352941176 0.619607843137255 0.466666666666667
2 "k__Bacteria;p__[Thermi]" "[Thermi]" "#9EC1FF" 0.620689655172414 0.758620689655172 1
3 "Unassigned;Other;Other" "Unassigned;Other;Other" "#0000FF" 0 0 1
3 "k__Archaea;p__Crenarchaeota;c__Thaumarchaeota" "Thaumarchaeota" "#FF0000" 1 0 0
3 "k__Archaea;p__Euryarchaeota;c__Halobacteria" "Halobacteria" "#00FF00" 0 1 0
3 "k__Archaea;p__Euryarchaeota;c__Methanobacteria" "Methanobacteria" "#00002C" 0 0 0.172413793103448
3 "k__Archaea;p__Euryarchaeota;c__Thermoplasmata" "Thermoplasmata" "#FF1AB9" 1 0.103448275862069 0.724137931034483
3 "k__Bacteria;p__Acidobacteria;c__Acidobacteria-6" "Acidobacteria-6" "#FFD300" 1 0.827586206896552 0
3 "k__Bacteria;p__Acidobacteria;c__Acidobacteriia" "Acidobacteriia" "#005800" 0 0.344827586206897 0
3 "k__Bacteria;p__Acidobacteria;c__Solibacteres" "Solibacteres" "#8484FF" 0.517241379310345 0.517241379310345 1
